study_site,decade,year_first,year_last,log_area1_ci_2.5,log_area1_ci_50,log_area1_ci_97.5,log_area2_ci_2.5,log_area2_ci_50,log_area2_ci_97.5,trend_ci_2.5,trend_ci_50,trend_ci_97.5,area_change_ci_2.5,area_change_ci_50,area_change_ci_97.5,est_area1,est_area2,site_groupings,studyid,site,year,area,log_area,max_area,max_plus_0.1,apriori_cat,depth_cat,lh,lat_zone2,duration,lat,lon,dom_species,bioregion,site_duplication,decade_time_points,measurement_cat,tidied_drivers,att_method,bioregion_colours
W57_Crab.Bay,2000,2001,2003.99,0.3584236608852251,0.6330294852304446,0.9249070491497735,0.35796836777157803,0.6304579106787257,0.9245567983017822,-2.7413765865552278,-0.11221234470023544,2.7835303416334867,-0.16206450184820578,-0.006620353482350794,0.159031877236662,1.8833073976393029,1.8784705540798756,W57,W57,Crab Bay,2001,1.63,0.5838901946229957,1.78,1.943,none,mixed,O,Temperate,2,57.736023,-135.367357,zostera marina,Temperate North Pacific,no,3,ground mapping,NA,none,#1B9E77
W57_Funter.Bay,2000,2001,2003.99,1.758096284231835,2.0489290897743806,2.321693493669837,1.7577156666326665,2.0425547447398853,2.318165992363978,-2.73898428762278,-0.12218620228316435,2.7801836830279667,-0.670899238662547,-0.026596541369749982,0.6364279711663698,7.7595868342944865,7.710281860891416,W57,W57,Funter Bay,2001,7.9,2.1433548674234886,7.9,8.528,none,mixed,O,Temperate,2,58.255778,-134.9059,zostera marina,Temperate North Pacific,no,3,ground mapping,NA,none,#1B9E77
W57_Nakwasina,2000,2001,2003.99,-0.8308730236161269,-0.5639391542669263,-0.29680673519590794,-0.8397337133406253,-0.5705763929916537,-0.3063494137885469,-2.7367354502111314,-0.11752255149986013,2.7878984604738113,-0.04891392276462838,-0.002025990736809369,0.04784759675438514,0.5689634091216541,0.565199567723964,W57,W57,Nakwasina,2001,0.52,-0.569161200778954,0.58,0.626,none,mixed,O,Temperate,2,57.250148,-135.354145,zostera marina,Temperate North Pacific,no,3,ground mapping,NA,none,#1B9E77
W57_Pirates.Cove,2000,2001,2003.99,-1.8296243824299274,-1.5397257778159636,-1.2780830413529216,-1.8479420884417341,-1.5392836779543742,-1.2719320435802628,-2.7428796036982166,-0.11891893631961192,2.773568805748311,-0.018372116308190974,-7.463065935005009e-4,0.017888286256620402,0.21443989754205847,0.21453472235055396,W57,W57,Pirates Cove,2001,0.18,-1.6194882482876019,0.2,0.218,none,mixed,O,Temperate,2,56.987567,-135.370673,zostera marina,Temperate North Pacific,no,3,ground mapping,NA,none,#1B9E77
W57_Sandy.Cove,2000,2001,2003.99,-0.5997740893136372,-0.29699445628926047,-0.019495121511223158,-0.5989130222446889,-0.2997667747141842,-0.02031697835445514,-2.7403433986040473,-0.1121913604467728,2.7616825625021897,-0.06164853725865334,-0.0025386568505026963,0.06159445918544044,0.7430481315944291,0.7409910183725861,W57,W57,Sandy Cove,2001,0.7,-0.26787944515560136,0.7,0.7649999999999999,none,mixed,O,Temperate,2,56.978485,-135.313995,zostera marina,Temperate North Pacific,no,3,ground mapping,NA,none,#1B9E77
W63_Bahia.San.Quintin,1980,1987,1989.99,7.456962644334272,7.825087215199457,8.187302928273748,7.5398784083439,7.894294672615338,8.252540965235152,0.15905677865539924,2.4409858273952367,4.64045602388457,12.406634245588569,185.00551076016836,372.06460829384065,2502.604366461464,2681.937265464823,W63,W63,Bahia San Quintin,1987,2390,7.86207370495295,2390,2596.9,decrease,intertidal,O,Temperate,13,30.433669,-115.966262,zostera marina,Temperate North Pacific,no,1,aerial photography,aquaculture,"visual, descriptive, inferential",#1B9E77
W63_Bahia.San.Quintin,1990,1990,1999.99,7.5401703210574125,7.894385646132918,8.252522694907976,7.380182550580258,7.758113400882725,8.122323934096396,-4.05307903533713,-1.4397783003199993,0.9696660225370987,-1109.7673543805047,-362.91430090346194,258.8932932802182,2682.1812618302256,2340.484880752589,W63,W63,Bahia San Quintin,1987,2390,7.86207370495295,2390,2596.9,decrease,intertidal,O,Temperate,13,30.433669,-115.966262,zostera marina,Temperate North Pacific,no,1,aerial photography,aquaculture,"visual, descriptive, inferential",#1B9E77
W63_Bahia.San.Quintin,2000,2000,2000.99,7.379997335666458,7.7580960936229975,8.122285659493334,7.359002730377179,7.742865994118553,8.10606625512544,-3.841412704705879,-1.5534268441325494,0.867207935847391,-89.7602950225937,-35.098106717479595,20.80086889015301,2340.4443737234033,2305.069240215326,W63,W63,Bahia San Quintin,1987,2390,7.86207370495295,2390,2596.9,decrease,intertidal,O,Temperate,13,30.433669,-115.966262,zostera marina,Temperate North Pacific,no,1,aerial photography,aquaculture,"visual, descriptive, inferential",#1B9E77
X14_Nisqually.River.Delta,2000,2009,2009.99,3.6134756105846177,4.048270326071746,4.4823727245734135,3.34830602251623,3.6564975371845563,3.945395822100117,-53.95480635036208,-33.08484416420632,-4.881626715175498,-44.88106411657003,-18.420018134066,-1.9454499610304605,57.29826397101422,38.72547054574965,14,14,Nisqually River Delta,2009,82.74193548,4.435414508042249,82.74193548,84.38709677,increase,intertidal,O,Temperate,2,47.102,-122.709,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (dike removal),descriptive,#1B9E77
X14_Nisqually.River.Delta,2010,2010,2011.99,3.3462564496706637,3.651701330290524,3.942508506995693,2.6412560911337644,3.1973171806022904,3.7592370460263114,-36.96053992514849,-20.510170617965823,-0.5313268201812595,-24.269144232025443,-13.694134237224093,-0.4058512639858952,38.540179878327635,24.46680205700956,14,14,Nisqually River Delta,2009,82.74193548,4.435414508042249,82.74193548,84.38709677,increase,intertidal,O,Temperate,2,47.102,-122.709,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (dike removal),descriptive,#1B9E77
X142_Elkhorn.Slough,1960,1966,1969.99,2.1515188099961495,2.5959765914184714,3.0275069317416547,1.3951143326014586,1.7145067817088064,2.051749738772667,-23.980974959937118,-19.847183547001457,-15.518632663735069,-13.235040168491588,-7.896095065411797,-4.423692013746247,13.409676744110897,5.553935534119733,142,142,Elkhorn Slough,1966,12.63670239,2.5528285025691204,14.52161759,14.7282951881,decrease,mixed,O,Temperate,46,36.80577778,-121.7902278,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (sea otters returning),"inferential, visual comparison",#1B9E77
X142_Elkhorn.Slough,1970,1970,1979.99,1.3937446591799547,1.7125619735027946,2.0497484891184303,0.6987272196900715,0.9901086237632499,1.26869369279787,-10.581059706025364,-7.008598653359005,-3.324903285016864,-4.942724260283513,-2.8379967709228415,-1.2906119316605744,5.543144691178433,2.6915268202431135,142,142,Elkhorn Slough,1966,12.63670239,2.5528285025691204,14.52161759,14.7282951881,decrease,mixed,O,Temperate,46,36.80577778,-121.7902278,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (sea otters returning),"inferential, visual comparison",#1B9E77
X142_Elkhorn.Slough,1980,1980,1989.99,0.6991472924224696,0.9905828967521118,1.268946180237142,1.7680395293938826,2.083514065965211,2.446430542962725,6.7178145193445,11.703743530321841,16.802455602824022,2.9406515726082074,5.317875064642136,8.782858311713051,2.692803641469728,8.032646626250541,142,142,Elkhorn Slough,1966,12.63670239,2.5528285025691204,14.52161759,14.7282951881,decrease,mixed,O,Temperate,46,36.80577778,-121.7902278,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (sea otters returning),"inferential, visual comparison",#1B9E77
X142_Elkhorn.Slough,1990,1990,1999.99,1.7686393828824825,2.084611709527472,2.4471680169756023,1.980755643083275,2.326334684904217,2.666655337662176,-2.2581347388342796,2.3911264212343575,7.2876660102642425,-2.17802224841548,2.149536420827814,6.83096406445691,8.041468449830965,10.240338594196665,142,142,Elkhorn Slough,1966,12.63670239,2.5528285025691204,14.52161759,14.7282951881,decrease,mixed,O,Temperate,46,36.80577778,-121.7902278,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (sea otters returning),"inferential, visual comparison",#1B9E77
X142_Elkhorn.Slough,2000,2000,2009.99,1.9810555539727976,2.3260906528427974,2.66597697658457,2.3426726064442,2.581836963530193,2.8440972157574107,-1.4958896739579235,2.5572290506983286,7.336336662470312,-1.8381297267629457,2.8667553355936297,8.218648090853955,10.2378399281496,13.221403101243574,142,142,Elkhorn Slough,1966,12.63670239,2.5528285025691204,14.52161759,14.7282951881,decrease,mixed,O,Temperate,46,36.80577778,-121.7902278,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (sea otters returning),"inferential, visual comparison",#1B9E77
X142_Elkhorn.Slough,2010,2010,2012.99,2.3428652007098982,2.582183180075831,2.8456135140208527,2.448127630337895,2.8121003057223293,3.2154733858563547,1.179031336253853,8.295823658061263,16.00149341035507,0.3921226140376147,3.4407947250214237,8.640694828248543,13.225981362242894,16.644840786265416,142,142,Elkhorn Slough,1966,12.63670239,2.5528285025691204,14.52161759,14.7282951881,decrease,mixed,O,Temperate,46,36.80577778,-121.7902278,zostera marina,Temperate North Pacific,no,1,aerial photography,restoration (sea otters returning),"inferential, visual comparison",#1B9E77
X201_Tokyo.Bay,1980,1980,1989.99,4.219605878242424,4.467672500075347,4.725381641335664,4.5651482831928165,4.714937589574264,4.879999706449707,-0.5240028063674754,2.587865226991859,5.687352934237337,-5.485062279158103,25.17451543866003,52.77683573551205,87.15363668060233,111.60184583764385,201,201,Tokyo Bay,1980,57.1433246,4.108721980202993,128.3699514,132.09550301,none,mixed,O,Temperate,25,35.67427222,139.8703444,zostera marina,Temperate North Pacific,no,10,aerial photography,sea level rise; light; wind; nutrients; hydrology,"inferential, visual",#1B9E77
X201_Tokyo.Bay,1990,1990,1999.99,4.564951417235231,4.714914881254967,4.8796080456023585,4.102964718141231,4.2698475361830734,4.428267068128065,-6.564169715771406,-4.398790931493113,-2.1919237506723737,-63.051137998946096,-40.630712623788945,-19.505481484313446,111.59931157606897,71.51073198888555,201,201,Tokyo Bay,1980,57.1433246,4.108721980202993,128.3699514,132.09550301,none,mixed,O,Temperate,25,35.67427222,139.8703444,zostera marina,Temperate North Pacific,no,10,aerial photography,sea level rise; light; wind; nutrients; hydrology,"inferential, visual",#1B9E77
X201_Tokyo.Bay,2000,2000,2005.99,4.102641840251793,4.269807838603905,4.427812187023303,4.029933045843551,4.30737547086704,4.596180026317798,-4.158693754816775,0.707590807878733,5.611846626928954,-17.516534999139893,3.2029051269371607,27.461336964038324,71.50789324228707,74.24537386305057,201,201,Tokyo Bay,1980,57.1433246,4.108721980202993,128.3699514,132.09550301,none,mixed,O,Temperate,25,35.67427222,139.8703444,zostera marina,Temperate North Pacific,no,10,aerial photography,sea level rise; light; wind; nutrients; hydrology,"inferential, visual",#1B9E77
X265_Nakdong.River.Estuary,1980,1985,1989.99,6.6830025897670104,7.211428029228353,7.663876817418514,5.984250488792693,6.388246781875061,6.763574832736051,-18.54375572553715,-15.094493520822894,-11.569726789160024,-1300.0422168952934,-752.2237541742741,-390.1653688738423,1354.8256171863484,594.8128283618696,265,265,Nakdong River Estuary,1985,1360,7.217443431696533,1360,1363,other,unspecified,O,Temperate,20,35.10083333,128.9527778,zostera marina,Temperate North Pacific,no,1,ground mapping,coastal development (land reclamation),"descriptive, visual, inferential",#1B9E77
X265_Nakdong.River.Estuary,1990,1990,1999.99,5.982833083681667,6.386384321111436,6.761560951646457,3.8299220170265693,4.245366130180037,4.667082695412676,-22.187875984343723,-19.20120247175856,-16.020228277037756,-768.9318405571632,-521.5990024419261,-333.3692621514773,593.7060437986867,69.7813045089194,265,265,Nakdong River Estuary,1985,1360,7.217443431696533,1360,1363,other,unspecified,O,Temperate,20,35.10083333,128.9527778,zostera marina,Temperate North Pacific,no,1,ground mapping,coastal development (land reclamation),"descriptive, visual, inferential",#1B9E77
X265_Nakdong.River.Estuary,2000,2000,2005.99,3.827826975733183,4.243395561989011,4.66509621393474,2.952938210328945,3.406475553846024,3.9061385618263667,-16.09196464432869,-12.850998300287213,-9.654213389041745,-60.3322509218299,-39.06919607402675,-24.670039071107286,69.64393108622771,30.15876378823696,265,265,Nakdong River Estuary,1985,1360,7.217443431696533,1360,1363,other,unspecified,O,Temperate,20,35.10083333,128.9527778,zostera marina,Temperate North Pacific,no,1,ground mapping,coastal development (land reclamation),"descriptive, visual, inferential",#1B9E77
X284_Yaquina.Estuary,1990,1998,1999.99,4.558673286705957,4.913069554688677,5.274374827108013,4.499506817851318,4.86829133959041,5.225062667871218,-4.5773142791849315,-2.225214487217775,0.0770433292076258,-14.058722121484031,-5.869488450563267,0.1629832267424147,136.05640667179654,130.09843283419977,Yaquina Estuary,284,Yaquina Estuary,1998,111.7,4.81112688587948,140.7,151.87,none,mixed,O,Temperate,9,44.61277778,-124.0208333,"zostera marina, zostera japonica",Temperate North Pacific,yes,1,aerial photography,NA,none,#1B9E77
X284_Yaquina.Estuary,2000,2000,2007.99,4.499263814587153,4.867859749724989,5.224796393138902,4.59457738660258,4.964931970396294,5.329703292465389,-1.9620277557587469,1.1959958072261356,4.602324362884571,-24.217059441036675,12.937770740087863,54.22680081628468,130.0422957840437,143.29880138107154,Yaquina Estuary,284,Yaquina Estuary,1998,111.7,4.81112688587948,140.7,151.87,none,mixed,O,Temperate,9,44.61277778,-124.0208333,"zostera marina, zostera japonica",Temperate North Pacific,yes,1,aerial photography,NA,none,#1B9E77
X313_Lake.Nakaumi,1950,1955,1959.99,6.7144154545228725,7.15359863666475,7.568638129325552,4.923200260630045,5.234551689991544,5.577401485714061,-37.03747347347328,-31.757091458021712,-26.44026456834671,-1691.8134485768865,-1086.3211729417899,-654.8608887446815,1278.6992594380756,187.64496436920027,313,313,Lake Nakaumi,1955,1600,7.38330599465699,1600,1608.9,decrease,subtidal,O,Temperate,47,35.47416667,133.2036111,zostera marina,Temperate North Pacific,no,1,other,nutrients,"descriptive, visual",#1B9E77
X313_Lake.Nakaumi,1960,1960,1969.99,4.919697192780752,5.2312073889455695,5.573533455280315,1.6945044477047093,2.423143922763737,3.064976656458184,-28.58651718264356,-24.616815041574785,-20.261953375461555,-248.56548127934067,-175.11125438708078,-128.50247051800395,187.01847129322292,11.281271064714677,313,313,Lake Nakaumi,1955,1600,7.38330599465699,1600,1608.9,decrease,subtidal,O,Temperate,47,35.47416667,133.2036111,zostera marina,Temperate North Pacific,no,1,other,nutrients,"descriptive, visual",#1B9E77
X313_Lake.Nakaumi,1970,1970,1979.99,1.692443326531962,2.421216482541938,3.0634330639949345,0.7494911254747735,1.5808625164834427,2.4047433510202136,-10.85724616716233,-8.025736651940285,-5.075391978108159,-11.747110221106169,-6.2373865504790444,-3.177865303498039,11.259548030761357,4.859145097055334,313,313,Lake Nakaumi,1955,1600,7.38330599465699,1600,1608.9,decrease,subtidal,O,Temperate,47,35.47416667,133.2036111,zostera marina,Temperate North Pacific,no,1,other,nutrients,"descriptive, visual",#1B9E77
X313_Lake.Nakaumi,1980,1980,1989.99,0.7498032157128696,1.5811061723769149,2.404813813475455,1.3684727824876632,2.020518955694016,2.6830496872712617,0.9359985438805013,4.597604958009283,8.631650721517607,0.7364927883709513,2.6187015431795553,5.3489779436385865,4.860329200646519,7.542238005577244,313,313,Lake Nakaumi,1955,1600,7.38330599465699,1600,1608.9,decrease,subtidal,O,Temperate,47,35.47416667,133.2036111,zostera marina,Temperate North Pacific,no,1,other,nutrients,"descriptive, visual",#1B9E77
X313_Lake.Nakaumi,1990,1990,1999.99,1.3691642185762254,2.02094782312163,2.6829273338755946,1.6623197686673163,2.1170451439999534,2.565816600010729,-3.9371427864232538,0.7489352611277811,5.7368708283970875,-4.3414852831651025,0.5957512898242876,4.1117978693488855,7.54547331949994,8.306556510603858,313,313,Lake Nakaumi,1955,1600,7.38330599465699,1600,1608.9,decrease,subtidal,O,Temperate,47,35.47416667,133.2036111,zostera marina,Temperate North Pacific,no,1,other,nutrients,"descriptive, visual",#1B9E77
X313_Lake.Nakaumi,2000,2000,2002.99,1.6621068634291478,2.117201562880582,2.5661782815837535,1.6678031492676464,2.1488379077004307,2.6281006330756735,-2.8517684825802325,0.8750164529172877,4.970533230421261,-0.7346762558786144,0.22641856651331294,1.4698440217574495,8.307855914498127,8.574887793844393,313,313,Lake Nakaumi,1955,1600,7.38330599465699,1600,1608.9,decrease,subtidal,O,Temperate,47,35.47416667,133.2036111,zostera marina,Temperate North Pacific,no,1,other,nutrients,"descriptive, visual",#1B9E77
X45_East.area,2010,2011,2013.99,0.1067710019273754,0.5823019682636712,1.061926475817588,-2.2668096660235055,-1.8653305229709,-1.4817197749788154,-64.46887614761204,-56.07261628774311,-45.287128009617675,-2.7261382308005517,-1.6314740655920956,-0.9473883017649777,1.7901545703290587,0.15484502158935448,45,45,East area,2011,2,0.7884573603642703,2,2.2,none,subtidal,O,Temperate,2,34.290447,132.926506,zostera marina,Temperate North Pacific,no,3,acoustics/sonar,NA,none,#1B9E77
X45_North.area,2010,2011,2013.99,2.2318416706643314,2.6145113574951386,3.002482088609856,2.1302174283770396,2.485980464122279,2.875484889395395,-19.076277939861626,-4.169327381142346,14.19479283082881,-8.573244792148815,-1.6513327060892067,5.362574486234443,13.660539626453533,12.012892692951738,45,45,North area,2011,19,2.970414465569701,19,19.5,none,subtidal,O,Temperate,2,34.295296,132.919014,zostera marina,Temperate North Pacific,no,3,acoustics/sonar,NA,none,#1B9E77
X66_Yaquina.Estuary,1990,1997,1999.99,4.604796766966742,4.792497656766576,4.986300987606724,4.568604328022144,4.725040874013216,4.883831263890296,-4.804408867712215,-2.3470187224287455,0.03250774426865398,-18.76037189029438,-8.106100822901197,0.11109094075040261,120.60221574065729,112.73510621611945,Yaquina Estuary,66,Yaquina Estuary,1997,85.92000151,4.530029459584161,145.2158712,152.057163441,none,intertidal,O,Temperate,10,44.61638889,-124.0216667,zostera marina,Temperate North Pacific,yes,3,aerial photography,NA,none,#1B9E77
X66_Yaquina.Estuary,2000,2000,2007.99,4.56850896267058,4.724882883784845,4.88357497529249,4.567712654251202,4.819476227215912,5.087861800439186,-1.9630702584279232,1.196323562247814,4.600883334126349,-17.74990868669559,11.168647107128166,47.17838395677234,112.71729657785438,123.90017824029118,Yaquina Estuary,66,Yaquina Estuary,1997,85.92000151,4.530029459584161,145.2158712,152.057163441,none,intertidal,O,Temperate,10,44.61638889,-124.0216667,zostera marina,Temperate North Pacific,yes,3,aerial photography,NA,none,#1B9E77
X74_Jangheung.Bay,1990,1990,1999.99,6.006072990993465,6.277785149177167,6.576371103011072,5.969065294172595,6.174145181043535,6.363265842430235,-4.519551970994883,-1.0193524795566011,2.3735008263622865,-259.91194474980347,-50.7318974227785,114.97244418102925,532.6077098654639,480.1723879764059,74,74,Jangheung Bay,1990,600.7563714,6.43047584540508,634.9808429,654.69359666,decrease,subtidal,O,Temperate,22,34.43833,126.905,zostera marina,Temperate North Pacific,no,8,satellite,storms,"visual comparison, descriptive",#1B9E77
X74_Jangheung.Bay,2000,2000,2009.99,5.969183898265087,6.173671938961739,6.363156524213876,5.599373838595988,5.831630552892631,6.0914616369695045,-6.4179410973005755,-3.391121879342024,-0.21571729914265358,-270.2669022697167,-140.40894669217,-8.508554634713159,479.94520395665825,340.914104602735,74,74,Jangheung Bay,1990,600.7563714,6.43047584540508,634.9808429,654.69359666,decrease,subtidal,O,Temperate,22,34.43833,126.905,zostera marina,Temperate North Pacific,no,8,satellite,storms,"visual comparison, descriptive",#1B9E77
X74_Jangheung.Bay,2010,2010,2012.99,5.598538558796851,5.831392770283635,6.090974465025403,5.5583822452196205,5.880052317333204,6.237395926902084,-4.302073652498934,1.7197143805205428,8.041341379738677,-40.760492436004455,17.832359545716372,98.34483715353241,340.83305079447405,357.8279618238636,74,74,Jangheung Bay,1990,600.7563714,6.43047584540508,634.9808429,654.69359666,decrease,subtidal,O,Temperate,22,34.43833,126.905,zostera marina,Temperate North Pacific,no,8,satellite,storms,"visual comparison, descriptive",#1B9E77
X89_Izembek.Lagon,1970,1978,1979.99,9.382066030247493,9.701797464662945,10.060072485892693,9.366566619266482,9.667433570459687,10.012631666151751,-5.339970385148238,-1.6851389623572355,2.1057433219478696,-2031.2695966941349,-539.1744788086226,638.3915398142271,16346.96389624754,15794.76082165613,Izembek Lagoon,89,Izembek Lagon,1978,15067,9.715572380605613,16816,18322.7,none,mixed,O,Temperate,24,55.31983,-162.8442,zostera marina,Temperate North Pacific,yes,1,satellite,NA,none,#1B9E77
X89_Izembek.Lagon,1980,1980,1989.99,9.366448062098018,9.667420867468369,10.012661504862804,9.601499445664395,9.934828053736165,10.246659216636699,0.23775419930937292,2.6642087143467497,5.111531271494109,416.3804139946848,4607.840320426167,9796.44598081743,15794.560182220897,20636.73571481939,Izembek Lagoon,89,Izembek Lagon,1978,15067,9.715572380605613,16816,18322.7,none,mixed,O,Temperate,24,55.31983,-162.8442,zostera marina,Temperate North Pacific,yes,1,satellite,NA,none,#1B9E77
X89_Izembek.Lagon,1990,1990,1999.99,9.601633324005526,9.935035461119654,10.246545420597652,9.42952849856784,9.785101304386394,10.121712800607492,-4.0528836546988485,-1.4401294440137824,0.9684618548605662,-7794.023716562193,-2732.6080116824432,1806.7623350607873,20641.01637008215,17767.057233826312,Izembek Lagoon,89,Izembek Lagon,1978,15067,9.715572380605613,16816,18322.7,none,mixed,O,Temperate,24,55.31983,-162.8442,zostera marina,Temperate North Pacific,yes,1,satellite,NA,none,#1B9E77
X89_Izembek.Lagon,2000,2000,2002.99,9.429395860557332,9.78485710216269,10.12153473345828,9.400593597729971,9.756094060342527,10.109727388790821,-3.167676426871509,-0.8711072282892307,1.6583349203412674,-1657.4807188598722,-451.5682001522164,884.4028412010136,17762.719008664793,17259.08689602393,Izembek Lagoon,89,Izembek Lagon,1978,15067,9.715572380605613,16816,18322.7,none,mixed,O,Temperate,24,55.31983,-162.8442,zostera marina,Temperate North Pacific,yes,1,satellite,NA,none,#1B9E77
W1_Chincoteague.Bay,1980,1986,1989.99,7.29007172879963,7.834001742416333,8.364424348149633,7.602110709927841,7.999928174232876,8.412877949184677,-4.874592055384053,4.1829120495216365,14.5069017705312,-684.2583783532998,425.83633663101796,1333.9895630182832,2525.013636821677,2980.743885136653,Maryland Coastal Bays,W1,Chincoteague Bay,1986,2100,7.745002803515839,6900,7110,increase,mixed,O,Temperate,17,38.0223002,-75.3088757,zostera marina,Temperate North Atlantic West,yes,3,aerial photography,wasting disease; water quality,"visual, descriptive",#D95F02
