studyid,additional_ref,author_ts,site,year,season,area,area_units,depth,measurement method,area_error,depth_cat,first_year,last_year,duration,num_points,A1,A2,pub_year,journal,title,lat,lon,dom_species,all_species,meadow_lh,meadow_lh_simple,lh_group,lh_group2,lh_group3,notes,a priori trajectory,att_method,driver effect,certainty,primary driver,statistical analysis,other drivers considered,interaction of drivers considered,secondary driver attribution,secondary driver statistical analysis,apriori_cat,none,inferential,visual,descriptive,experiment,tidied_drivers,measurement_cat,waycott_study,study_site,site_groupings,site_duplication,Country,ECOREGION,PROV_CODE,PROVINCE,REALM,ECO_CODE_X,Lat_Zone,absolute_change,lat_zone2,lh,study_site_grouping,min_area,max_area,ten_percent,plus_10,log_area,max_plus_0.1,decade,decade_time_points,num_unique_years,bioregion,bioregion_colours,max_max_area,most_recent,recent_max_area,net_change,net_change_sign,bioregion_levels,bioregion_striptext
24,NA,Cuvillier et al.,MNS,1950,winter,0.005,ha,subtidal,aerial photography,NA,subtidal,1950,2015,65,16,0.005,0.5627,2017,"Estuarine, Coastal, and Shelf Science","Causes of seasonal and decadal variability in a tropical seagrass seascape (Reunion Island, south western Indian Ocean)",-21.064085,55.220193,syringodium isoetifolium,syringodium isoetifolium,O,O,OP,O,O,"Say that meadow structure (e.g., number of patches) was affected by herbivory and human disturbance, but data for herbivory doesn't seem to be there; No correlation of cyclone frequency with long-term pattern (short term not examined);  Also considered presence of adjacent reef/reef structure; depth 1m, assuming subtidal",none,"visual comparison, descriptive",swell (negative short term); cyclone (no effect); grubbing/weedkillers (negative); nitrate (positive),NA,"cyclone, swell, grubbing/weedkillers, nitrate",none,herbivory,grubbing/weedkillers * swell,descriptive,NA,none,FALSE,FALSE,TRUE,TRUE,FALSE,storms; swell; fishing (worms); herbicides; nitrate,aerial photography,FALSE,24_MNS,24,no,Reunion,Mascarene Islands,20,Western Indian Ocean,Western Indo-Pacific,98,Tropical,0.5577,Tropical,O,2424,0.005,0.6985,5e-4,0.0055,-5.2030071867437115,0.699,1950,1,14,Tropical Indo-Pacific,#E6AB02,NA,NA,NA,0.5577,gain,Tropical Indo-Pacific,Tropical Indo-Pacific
24,NA,Cuvillier et al.,PAS,1950,winter,0.0562,ha,subtidal,aerial photography,NA,subtidal,1950,2015,65,16,0.0562,0.4451,2017,"Estuarine, Coastal, and Shelf Science","Causes of seasonal and decadal variability in a tropical seagrass seascape (Reunion Island, south western Indian Ocean)",-21.085735,55.222488,syringodium isoetifolium,syringodium isoetifolium,O,O,OP,O,O,"Say that meadow structure (e.g., number of patches) was affected by herbivory and human disturbance, but data for herbivory doesn't seem to be there; No correlation of cyclone frequency with long-term pattern (short term not examined);  Also considered presence of adjacent reef/reef structure; depth 1m, assuming subtidal",none,"visual comparison, descriptive",swell (negative short term); cyclone (no effect); grubbing/weedkillers (negative); nitrate (positive),NA,"cyclone, swell, grubbing/weedkillers, nitrate",none,herbivory,grubbing/weedkillers * swell,descriptive,NA,none,FALSE,FALSE,TRUE,TRUE,FALSE,storms; swell; fishing (worms); herbicides; nitrate,aerial photography,FALSE,24_PAS,24,no,Reunion,Mascarene Islands,20,Western Indian Ocean,Western Indo-Pacific,98,Tropical,0.3889,Tropical,O,2424,0.016,0.6835,0.0016,0.0578,-2.8507665033038054,0.6851,1950,1,14,Tropical Indo-Pacific,#E6AB02,NA,NA,NA,0.3889,gain,Tropical Indo-Pacific,Tropical Indo-Pacific
24,NA,Cuvillier et al.,PLA,1950,winter,0.1067,ha,subtidal,aerial photography,NA,subtidal,1950,2014,64,14,0.1067,0.141,2017,"Estuarine, Coastal, and Shelf Science","Causes of seasonal and decadal variability in a tropical seagrass seascape (Reunion Island, south western Indian Ocean)",-21.096468,55.231286,syringodium isoetifolium,syringodium isoetifolium,O,O,OP,O,O,"Say that meadow structure (e.g., number of patches) was affected by herbivory and human disturbance, but data for herbivory doesn't seem to be there; No correlation of cyclone frequency with long-term pattern (short term not examined);  Also considered presence of adjacent reef/reef structure; depth 1m, assuming subtidal",none,"visual comparison, descriptive",swell (negative short term); cyclone (no effect); grubbing/weedkillers (negative); nitrate (positive),NA,"cyclone, swell, grubbing/weedkillers, nitrate",none,herbivory,grubbing/weedkillers * swell,descriptive,NA,none,FALSE,FALSE,TRUE,TRUE,FALSE,storms; swell; fishing (worms); herbicides; nitrate,aerial photography,FALSE,24_PLA,24,no,Reunion,Mascarene Islands,20,Western Indian Ocean,Western Indo-Pacific,98,Tropical,0.03429999999999998,Tropical,O,2424,0.0033,0.3395,3.3e-4,0.10703,-2.234646109985853,0.33983,1950,1,13,Tropical Indo-Pacific,#E6AB02,NA,NA,NA,0.03429999999999998,gain,Tropical Indo-Pacific,Tropical Indo-Pacific
31,31c: table 4-1,Adams,Swartkops,1939,NA,24.77,ha,intertidal,aerial photography,NA,intertidal,1939,2012,73,8,24.77,44.7,2016,South African Journal of Botany,Distribution and status of Zostera capensis in South African estuaries — A review,-33.862583,25.614396,zostera capensis,zostera capensis,CO,O,CO,CO,O,source: Bornman et al 2016 Table 1 & Adams 2016 Table 3; study goal was not attribution; attribution from Bornman et al 2016,none,descriptive,positive,NA,reduced freshwater flow (less bank mobility); eutrophication,none,sea level rise,none,none,NA,none,FALSE,FALSE,FALSE,TRUE,FALSE,hydrology; nutrients,aerial photography,FALSE,31_Swartkops,31,no,South Africa,Agulhas Bank,51,Agulhas,Temperate Southern Africa,192,Temperate,19.930000000000003,Temperate,O,3131,0.6,44.7,0.06,24.83,3.2120525995200753,44.760000000000005,pre-1940s,1,7,Temperate Southern Oceans,#A6761D,NA,NA,NA,19.930000000000003,gain,Temperate Southern Oceans,"Temperate
Southern Oceans"
31,31d,Adams,Breede Estuary,1942,NA,22.8,ha,"intertidal, subtidal",aerial photography,NA,mixed,1942,1987,45,6,22.8,2.5,2016,South African Journal of Botany,Distribution and status of Zostera capensis in South African estuaries — A review (see de Villiers et al 1988),-34.404223,20.830388,zostera capensis,zostera capensis,CO,O,CO,CO,O,source: de Villier 1988 Table 5.1,decrease,descriptive,negative,NA,hydrology changes,none,none,none,none,NA,decrease,FALSE,FALSE,FALSE,TRUE,FALSE,hydrology,aerial photography,FALSE,31_Breede Estuary,31,no,South Africa,Agulhas Bank,51,Agulhas,Temperate Southern Africa,192,Temperate,-20.3,Temperate,O,3131,2.5,22.8,0.25,23.05,3.1376657694426577,23.05,1940,1,6,Temperate Southern Oceans,#A6761D,NA,NA,NA,-20.3,loss,Temperate Southern Oceans,"Temperate
Southern Oceans"
31,31c: table 4-5,Adams,Knysna Estuary,1942,NA,254,ha,"intertidal, subtidal",aerial photography,NA,mixed,1942,2007,65,2,254,238,2016,South African Journal of Botany,Distribution and status of Zostera capensis in South African estuaries — A review (see de Villiers et al 1988),-34.043568,23.037657,zostera capensis,zostera capensis,CO,O,CO,CO,O,source: Schmidt 2013 Table 4-5,none,descriptive,negative,NA,hydrology changes,none,none,none,none,NA,none,FALSE,FALSE,FALSE,TRUE,FALSE,hydrology,aerial photography,FALSE,31_Knysna Estuary,Knysna Estuary,yes,South Africa,Agulhas Bank,51,Agulhas,Temperate Southern Africa,192,Temperate,-16,Temperate,O,Knysna Estuary31,238,254,23.8,277.8,5.626901430320244,277.8,1940,1,2,Temperate Southern Oceans,#A6761D,277.8,2007,TRUE,-16,loss,Temperate Southern Oceans,"Temperate
Southern Oceans"
36,NA,Christiaen et al.,Kees Bayou,2004,December,1.25492,ha,intertidal,aerial photography,NA,intertidal,2004,2012,8,4,1.25492,1.45494,2016,Marine Ecology Progress Series,Functional implications of changes in seagrass species composition in two shallow coastal lagoons,30.31,-87.469,"halodule wrightii, ruppia maritima","halodule wrightii, ruppia maritima",C-CO,C-O,CO,C,C,Back calculated area cover from percent area * area of site (See Figure 4); Ruppia maritima replaced some of the Halodule wrightii cover,none,none,none,NA,none,NA,none,none,none,NA,none,TRUE,FALSE,FALSE,FALSE,FALSE,NA,aerial photography,FALSE,36_Kees Bayou,36,no,United States - Atlantic,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,43,Temperate,0.20001999999999986,Temperate,C,3636,1.18094,1.5618,0.11809400000000002,1.373014,0.31700832338352075,1.679894,2000,2,4,Tropical Atlantic,#E7298A,NA,NA,NA,0.20001999999999986,gain,Tropical Atlantic,Tropical Atlantic
36,NA,Christiaen et al.,State Park,2004,December,0.16692,ha,intertidal,aerial photography,NA,intertidal,2004,2012,8,4,0.16692,0.75192,2016,Marine Ecology Progress Series,Functional implications of changes in seagrass species composition in two shallow coastal lagoons,30.308,-87.403,"halodule wrightii, ruppia maritima","halodule wrightii, ruppia maritima",C-CO,C-O,CO,C,C,Back calculated area cover from percent area * area of site (See Figure 4); Ruppia maritima replaced some of the Halodule wrightii cover,none,none,none,NA,none,NA,none,none,none,NA,none,TRUE,FALSE,FALSE,FALSE,FALSE,NA,aerial photography,FALSE,36_State Park,36,no,United States - Atlantic,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,43,Temperate,0.585,Temperate,C,3636,0.16692,0.75192,0.016692000000000002,0.18361200000000003,-1.6949304434544603,0.7686120000000001,2000,2,4,Tropical Atlantic,#E7298A,NA,NA,NA,0.585,gain,Tropical Atlantic,Tropical Atlantic
37,37d: King 1986,Ferguson et al. 2016,All Lake Macquarie,1953,August,2331,ha,"intertidal, subtidal",field surveys,NA,mixed,1953,2009,56,6,2331,1531.1,2016,Marine Ecology Progress Series,"Morphological plasticity in Zostera muelleri across light, sediment, and nutrient gradients in Australian temperate coastal lakes",-33.08616,151.602933,zostera capricorni,"zostera capricorni, halophila ovalis, posidonia australis, ruppia megacarpa",CO,O,CO,CO,O,No data from Ferguson et al. 2016 used: See all additonal references for citations; Zostera capricorni most abundant,none,none,none,NA,none,NA,none,none,none,NA,none,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ground mapping,FALSE,37_All Lake Macquarie,37,no,Australia,Manning-Hawkesbury,55,East Central Australian Shelf,Temperate Australasia,203,Temperate,-799.9000000000001,Temperate,O,3737,1339.1,2548,133.91,2464.91,7.809910574654055,2681.91,1950,2,5,Temperate Southern Oceans,#A6761D,NA,NA,NA,-799.9000000000001,loss,Temperate Southern Oceans,"Temperate
Southern Oceans"
41,NA,Sharma et al.,South control,2006,June,0.3363,ha,intertidal,"aerial photography, landsat, google earth",NA,intertidal,2006,2013,7,5,0.3363,0.2057,2016,Restoration Ecology,Do restored oyster reefs benefit seagrasses? An experimental study in the Northern Gulf of Mexico,30.377426,-88.302868,"halodule wrightii, ruppia maritima","halodule wrightii, ruppia maritima",C-CO,C-O,CO,C,C,testing effect of oyster reefs on specific plots and also looked at area cover nearby the constructed oyster reefs,increase,inferential,positive,p = 0.05,oyster reef construction,BACI; RMANOVA seagrass change over time; before after control impact design,"salinity, dissolved oxygen, temperature",none,visual comparison; descriptive,none,increase,FALSE,TRUE,FALSE,FALSE,FALSE,restoration (oyster reef construction),"aerial photography, satellite",FALSE,41_South control,41,no,United States - Atlantic,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,43,Temperate,-0.1306,Temperate,C,4141,0.1085,0.9001,0.01085,0.34715,-1.0579983157828545,0.91095,2000,2,4,Tropical Atlantic,#E7298A,NA,NA,NA,-0.1306,loss,Tropical Atlantic,Tropical Atlantic
41,NA,Sharma et al.,Pairs 1 & 2,2006,June,0.2613,ha,intertidal,"aerial photography, landsat, google earth",NA,intertidal,2006,2013,7,5,0.2613,1.3998,2016,Restoration Ecology,Do restored oyster reefs benefit seagrasses? An experimental study in the Northern Gulf of Mexico,30.381045,-88.30227,"halodule wrightii, ruppia maritima","halodule wrightii, ruppia maritima",C-CO,C-O,CO,C,C,testing effect of oyster reefs on specific plots and also looked at area cover nearby the constructed oyster reefs,increase,inferential,positive,p = 0.05,oyster reef construction,BACI; RMANOVA seagrass change over time; before after control impact design,"salinity, dissolved oxygen, temperature",none,visual comparison; descriptive,none,increase,FALSE,TRUE,FALSE,FALSE,FALSE,restoration (oyster reef construction),"aerial photography, satellite",FALSE,41_Pairs 1 & 2,41,no,United States - Atlantic,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,43,Temperate,1.1385,Temperate,C,4141,0.2613,1.3998,0.02613,0.28742999999999996,-1.2467759266512455,1.42593,2000,2,4,Tropical Atlantic,#E7298A,NA,NA,NA,1.1385,gain,Tropical Atlantic,Tropical Atlantic
41,NA,Sharma et al.,Pairs 3 & 4,2006,June,0.3589,ha,intertidal,"aerial photography, landsat, google earth",NA,intertidal,2006,2013,7,5,0.3589,5.0662,2016,Restoration Ecology,Do restored oyster reefs benefit seagrasses? An experimental study in the Northern Gulf of Mexico,30.38953,-88.298095,"halodule wrightii, ruppia maritima","halodule wrightii, ruppia maritima",C-CO,C-O,CO,C,C,testing effect of oyster reefs on specific plots and also looked at area cover nearby the constructed oyster reefs,increase,inferential,positive,p = 0.05,oyster reef construction,BACI; RMANOVA seagrass change over time; before after control impact design,"salinity, dissolved oxygen, temperature",none,visual comparison; descriptive,none,increase,FALSE,TRUE,FALSE,FALSE,FALSE,restoration (oyster reef construction),"aerial photography, satellite",FALSE,41_Pairs 3 & 4,41,no,United States - Atlantic,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,43,Temperate,4.7073,Temperate,C,4141,0.3589,5.0662,0.03589,0.39479,-0.9294013010242507,5.1020900000000005,2000,2,4,Tropical Atlantic,#E7298A,NA,NA,NA,4.7073,gain,Tropical Atlantic,Tropical Atlantic
41,NA,Sharma et al.,North control,2006,June,0.7823,ha,intertidal,"aerial photography, landsat, google earth",NA,intertidal,2006,2013,7,3,0.7823,0.41,2016,Restoration Ecology,Do restored oyster reefs benefit seagrasses? An experimental study in the Northern Gulf of Mexico,30.388975,-88.292397,"halodule wrightii, ruppia maritima","halodule wrightii, ruppia maritima",C-CO,C-O,CO,C,C,testing effect of oyster reefs on specific plots and also looked at area cover nearby the constructed oyster reefs,increase,inferential,positive,p = 0.05,oyster reef construction,BACI; RMANOVA seagrass change over time; before after control impact design,"salinity, dissolved oxygen, temperature",none,visual comparison; descriptive,none,increase,FALSE,TRUE,FALSE,FALSE,FALSE,restoration (oyster reef construction),"aerial photography, satellite",FALSE,41_North control,41,no,United States - Atlantic,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,43,Temperate,-0.3723,Temperate,C,4141,0.1879,0.7823,0.01879,0.80109,-0.22178197867507757,0.80109,2000,1,3,Tropical Atlantic,#E7298A,NA,NA,NA,-0.3723,loss,Tropical Atlantic,Tropical Atlantic
45,NA,Sonoki et al.,North area,2011,November,19,ha,subtidal,acoustic surveys,NA,subtidal,2011,2013,2,3,19,16,2016,PLoS ONE,Using Acoustics to Determine Eelgrass Bed Distribution and to Assess the Seasonal Variation of Ecosystem Service,34.295296,132.919014,zostera marina,zostera marina,CO,O,CO,CO,O,suggest that difference between North area and East area is because of wave exposure (and possible ferry traffic); main purpose was to measure blue carbon,none,none,NA,NA,none,NA,NA,NA,NA,NA,none,TRUE,FALSE,FALSE,FALSE,FALSE,NA,acoustics/sonar,FALSE,45_North area,45,no,Japan,Central Kuroshio Current,9,Warm Temperate Northwest Pacific,Temperate Northern Pacific,51,Temperate,-3,Temperate,O,4545,5,19,0.5,19.5,2.970414465569701,19.5,2010,3,3,Temperate North Pacific,#1B9E77,NA,NA,NA,-3,loss,Temperate North Pacific,"Temperate
North Pacific"
