studyid,additional_ref,author_ts,site,year,season,area,area_units,depth,measurement method,area_error,depth_cat,first_year,last_year,duration,num_points,A1,A2,pub_year,journal,title,lat,lon,dom_species,all_species,meadow_lh,meadow_lh_simple,lh_group,lh_group2,lh_group3,notes,a priori trajectory,att_method,driver effect,certainty,primary driver,statistical analysis,other drivers considered,interaction of drivers considered,secondary driver attribution,secondary driver statistical analysis,apriori_cat,none,inferential,visual,descriptive,experiment,tidied_drivers,measurement_cat,waycott_study,study_site,site_groupings,site_duplication,Country,ECOREGION,PROV_CODE,PROVINCE,REALM,ECO_CODE_X,Lat_Zone,absolute_change,lat_zone2,lh,study_site_grouping,min_area,max_area,ten_percent,plus_10,log_area,max_plus_0.1,decade,decade_time_points,num_unique_years,bioregion
6,NA,Calleja et al.,Area B,1984,summer,8.235294118,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,8.2764705886,2.1134166201081928,21.0411764706,1980,1,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,1990,summer,5.764705882,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,5.8058823526,1.758871602324456,21.0411764706,1990,2,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,1999,summer,5.764705882,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,5.8058823526,1.758871602324456,21.0411764706,1990,2,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,2002,summer,9.058823529,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,9.0999999996,2.2082744134788483,21.0411764706,2000,3,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,2003,summer,0.411764706,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,0.4529411766,-0.7919930149108636,21.0411764706,2000,3,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,2009,summer,12.76470588,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,12.8058823506,2.5499046240014653,21.0411764706,2000,3,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,2011,summer,15.64705882,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,15.6882352906,2.7529110869075306,21.0411764706,2010,4,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,2013,summer,21,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,21.0411764706,3.046481302209315,21.0411764706,2010,4,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,2014,summer,7,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,7.0411764706,1.9517752685093823,21.0411764706,2010,4,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area B,2015,summer,15.64705882,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,15.6882352906,2.7529110869075306,21.0411764706,2010,4,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area C,1984,summer,14.75903614,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,14.75903614,32.89156627,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.441242,-3.785442,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (positive); rate of change ~ nitrates (no effect); rate of change ~ salinity (positive);  rate of change ~ turbidity (positive); rate of change ~ oxygen (positive),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area C,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,18.13253013,Temperate,O,66,5.060240964,66.62650602,0.5060240964,15.2650602364,2.725566572225567,67.13253011639999,1980,1,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area C,1990,summer,24.03614458,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,14.75903614,32.89156627,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.441242,-3.785442,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (positive); rate of change ~ nitrates (no effect); rate of change ~ salinity (positive);  rate of change ~ turbidity (positive); rate of change ~ oxygen (positive),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area C,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,18.13253013,Temperate,O,66,5.060240964,66.62650602,0.5060240964,24.5421686764,3.2003928084995255,67.13253011639999,1990,2,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area C,1999,summer,8.012048193,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,14.75903614,32.89156627,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.441242,-3.785442,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (positive); rate of change ~ nitrates (no effect); rate of change ~ salinity (positive);  rate of change ~ turbidity (positive); rate of change ~ oxygen (positive),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area C,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,18.13253013,Temperate,O,66,5.060240964,66.62650602,0.5060240964,8.5180722894,2.1421900581285462,67.13253011639999,1990,2,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area C,2002,summer,15.18072289,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,14.75903614,32.89156627,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.441242,-3.785442,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (positive); rate of change ~ nitrates (no effect); rate of change ~ salinity (positive);  rate of change ~ turbidity (positive); rate of change ~ oxygen (positive),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area C,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,18.13253013,Temperate,O,66,5.060240964,66.62650602,0.5060240964,15.6867469864,2.752816214872992,67.13253011639999,2000,3,10,Temperate North Atlantic East
